service_id,date,exception_type                                                                                                                                                                                                                                                                                                                                
2026-04-042026-10-11001902,20260419,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260425,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260426,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260502,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260503,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260509,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260510,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260516,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260517,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260523,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260524,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260530,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260531,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260606,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260607,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260613,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260614,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260620,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260621,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260627,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260628,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260704,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260705,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260711,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260712,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260718,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260719,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260725,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260726,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260801,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260802,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260808,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260809,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260815,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260816,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260822,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260823,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260829,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260830,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260905,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260906,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260912,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260913,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260919,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260920,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260926,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20260927,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20261003,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-10-11001902,20261004,2                                                                                                                                                                                                                                                                                                                         
